FemaleID,MaleID,pairID,Year,FemaleAge,MaleAge,Fpair,Site,Fledged,Survived,Fmale,Ffemale,ll,Fa
67504,68039,B67504B68039,1994-95,4,3,0.352294922,WSB,1,1,0.310058594,0.2890625,0.03981,0.78053388
67540,66163,B67540B66163,1994-95,2,4,0.48828125,WSB,2,1,0.3046875,0.3046875,0.07955,0.667961121
67542,67526,B67542B67526,1994-95,2,2,0.354003906,WSB,1,1,0.38671875,0.295898438,0.041895,0.760766311
67546,67539,B67546B67539,1994-95,2,2,0.3515625,WSB,4,4,0.3046875,0.36328125,0.04448,0.745109404
67561,66161,B67561B66161,1994-95,2,4,0.293945313,WSB,1,0,0.322265625,0.33203125,0.037055,0.778232854
67564,72810,B67564B72810,1994-95,2,1,0.316223145,TPB,3,1,0.299316406,0.29296875,0.038885,0.759902458
67566,41466,B67566B41466,1994-95,2,7,0.349121094,WSB,2,1,0.3125,0.299316406,0.04995,0.677266626
67584,72803,B67584B72803,1994-95,1,1,0.356994629,WSB,1,1,0.383789063,0.326904297,0.03588,0.825797547
67586,67585,B67586B67585,1994-95,1,1,0.338012695,WSB,2,1,0.326904297,0.388671875,0.034875,0.818646093
67588,66164,B67588B66164,1994-95,1,4,0.30078125,WSB,2,1,0.25,0.388671875,0.046415,0.642604704
67595,67569,B67595B67569,1994-95,1,2,0.34375,WSB,2,1,0.306640625,0.3515625,0.037905,0.790292525
67596,72809,B67596B72809,1994-95,1,1,0.341033936,TPB,1,1,0.343505859,0.296875,0.036635,0.802800501
68013,43203,B68013B43203,1994-95,3,6,0.325195313,WSB,3,2,0.359375,0.2890625,0.04705,0.693766788
68027,41487,B68027B41487,1994-95,3,6,0.295898438,WSB,3,3,0.265625,0.33203125,0.048015,0.64700681
68029,67506,B68029B67506,1994-95,3,4,0.328857422,WSB,4,4,0.318359375,0.30859375,0.040955,0.755252117
68030,68005,B68030B68005,1994-95,3,3,0.343505859,WSB,4,1,0.30859375,0.30859375,0.038635,0.790620195
68034,41499,B68034B41499,1994-95,3,6,0.321777344,WSB,4,3,0.318359375,0.38671875,0.042505,0.744097646
68036,67505,B68036B67505,1994-95,3,4,0.4609375,WSB,2,0,0.27734375,0.27734375,0.078265,0.659733176
68048,44882,B68048B44882,1994-95,2,8,0.395507813,MGR,1,0,0.28125,0.344238281,0.05699,0.672638136
72804,72829,B72804B72829,1994-95,1,1,0.306640625,WSB,1,1,0.373046875,0.354003906,0.03444,0.800462882
72821,67598,B72821B67598,1994-95,1,1,0.294189453,TPB,2,1,0.484375,0.287109375,0.038035,0.754525258
72825,67530,B72825B67530,1994-95,1,2,0.309143066,TPB,1,0,0.29296875,0.328857422,0.03636,0.774919532
73003,46769,B73003B46769,1994-95,2,2,0.356933594,MGR,2,2,0.357421875,0.388671875,0.039305,0.794772543
77512,67519,B77512B67519,1994-95,3,3,0.311767578,TPB,2,1,0.2578125,0.29296875,0.04371,0.704877448
43234,67557,B43234B67557,1995-96,7,4,0.48828125,WSB,3,2,0.30859375,0.3359375,0.075355,0.765422327
43237,44882,B43237B44882,1995-96,7,9,0.47265625,MGR,1,1,0.28125,0.3046875,0.092205,0.580316544
44844,72841,B44844B72841,1995-96,11,1,0.39453125,WSB,1,0,0.321777344,0.375,0.0594,0.639783113
44846,72857,B44846B72857,1995-96,10,1,0.46484375,WSB,2,0,0.48828125,0.25,0.08152,0.62207599
45205,66137,B45205B66137,1995-96,6,5,0.357421875,MGR,2,1,0.32421875,0.34375,0.05172,0.670655787
45208,66173,B45208B66173,1995-96,6,5,0.345703125,WSB,1,1,0.328125,0.33203125,0.044115,0.743892998
66124,73016,B66124B73016,1995-96,6,2,0.332397461,MGR,1,1,0.395507813,0.296875,0.048615,0.664871558
66134,44895,B66134B44895,1995-96,5,6,0.388671875,MGR,1,1,0.3046875,0.453125,0.05597,0.674764633
66146,66143,B66146B66143,1995-96,5,4,0.465820313,MGR,2,1,0.388671875,0.453125,0.05667,0.759195482
66162,66188,B66162B66188,1995-96,5,5,0.304199219,TPB,4,1,0.3125,0.4375,0.039465,0.763985528
67504,68039,B67504B68039,1995-96,5,4,0.352294922,WSB,2,1,0.310058594,0.2890625,0.03981,0.78053388
67540,66163,B67540B66163,1995-96,3,5,0.48828125,WSB,3,1,0.3046875,0.3046875,0.07955,0.667961121
67542,67526,B67542B67526,1995-96,3,3,0.354003906,WSB,2,2,0.38671875,0.295898438,0.041895,0.760766311
67546,67539,B67546B67539,1995-96,3,3,0.3515625,WSB,3,1,0.3046875,0.36328125,0.04448,0.745109404
67561,66161,B67561B66161,1995-96,3,5,0.293945313,WSB,1,0,0.322265625,0.33203125,0.037055,0.778232854
67564,66180,B67564B66180,1995-96,3,5,0.307128906,TPB,1,0,0.5703125,0.29296875,0.03436,0.801699829
67584,72810,B67584B72810,1995-96,2,2,0.33026123,TPB,1,1,0.299316406,0.326904297,0.034595,0.815222078
67586,72855,B67586B72855,1995-96,2,1,0.356445313,WSB,4,2,0.28515625,0.388671875,0.040575,0.77296328
67588,41443,B67588B41443,1995-96,2,8,0.380859375,WSB,2,2,0.4375,0.388671875,0.048345,0.721706266
67595,67569,B67595B67569,1995-96,2,3,0.34375,WSB,2,2,0.306640625,0.3515625,0.037905,0.790292525
67596,72809,B67596B72809,1995-96,2,2,0.341033936,TPB,1,1,0.343505859,0.296875,0.036635,0.802800501
68013,43203,B68013B43203,1995-96,4,7,0.325195313,WSB,3,1,0.359375,0.2890625,0.04705,0.693766788
68027,41487,B68027B41487,1995-96,4,7,0.295898438,WSB,2,0,0.265625,0.33203125,0.048015,0.64700681
68029,67506,B68029B67506,1995-96,4,5,0.328857422,WSB,2,2,0.318359375,0.30859375,0.040955,0.755252117
68030,41455,B68030B41455,1995-96,4,8,0.33203125,WSB,1,1,0.4375,0.30859375,0.04494,0.711621998
68035,72801,B68035B72801,1995-96,4,2,0.328613281,WSB,4,4,0.328125,0.27734375,0.0451,0.711336821
68046,73022,B68046B73022,1995-96,3,2,0.350830078,MGR,2,2,0.388671875,0.307128906,0.041015,0.768678808
68048,73050,B68048B73050,1995-96,3,2,0.384277344,MGR,2,2,0.307128906,0.344238281,0.04487,0.776569551
72825,66169,B72825B66169,1995-96,2,5,0.309143066,TPB,1,0,0.29296875,0.328857422,0.03653,0.774919532
72826,72803,B72826B72803,1995-96,2,2,0.391723633,WSB,1,0,0.383789063,0.321777344,0.039605,0.826648645
72838,77515,B72838B77515,1995-96,1,1,0.372802734,WSB,2,1,0.356994629,0.3515625,0.033355,0.861353133
72845,72842,B72845B72842,1995-96,1,1,0.371826172,WSB,1,1,0.321777344,0.328125,0.040175,0.794690846
72851,72843,B72851B72843,1995-96,1,1,0.311706543,WSB,2,0,0.325195313,0.354003906,0.0333,0.819404182
72854,72890,B72854B72890,1995-96,1,1,0.344238281,TPB,1,0,0.311767578,0.28515625,0.040735,0.765130248
72866,72887,B72866B72887,1995-96,1,1,0.316467285,WSB,1,1,0.328125,0.316223145,0.03389,0.799383662
72870,67598,B72870B67598,1995-96,1,2,0.324829102,TPB,1,0,0.484375,0.352294922,0.03437,0.814366047
72872,72839,B72872B72839,1995-96,1,1,0.326660156,WSB,2,1,0.3515625,0.295898438,0.03639,0.793088161
72873,45247,B72873B45247,1995-96,1,6,0.294433594,WSB,1,1,0.27734375,0.295898438,0.04119,0.711284919
72876,72892,B72876B72892,1995-96,1,1,0.426513672,WSB,2,2,0.3515625,0.34375,0.043995,0.848549424
72877,77503,B72877B77503,1995-96,1,1,0.313110352,WSB,1,1,0.321777344,0.373046875,0.036245,0.790955509
72893,67530,B72893B67530,1995-96,1,3,0.382202148,TPB,1,1,0.29296875,0.299560547,0.0497,0.757625912
73002,73021,B73002B73021,1995-96,3,2,0.5390625,MGR,2,1,0.388671875,0.388671875,0.068895,0.801174473
73008,73012,B73008B73012,1995-96,3,2,0.372802734,MGR,2,1,0.307128906,0.33984375,0.047325,0.733533966
73015,68043,B73015B68043,1995-96,2,3,0.409790039,MGR,1,1,0.33984375,0.395507813,0.04888,0.766498551
73029,73032,B73029B73032,1995-96,1,1,0.405639648,MGR,2,1,0.465820313,0.356933594,0.034885,0.869696117
77511,67590,B77511B67590,1995-96,1,2,0.354003906,WSB,1,1,0.295898438,0.306640625,0.038945,0.806553006
41474,68039,B41474B68039,1996-97,9,5,0.334228516,WSB,1,1,0.310058594,0.3203125,0.039575,0.75287427
43207,41466,B43207B41466,1996-97,8,9,0.29296875,WSB,2,2,0.3125,0.34375,0.05544,0.585998535
45205,66137,B45205B66137,1996-97,7,6,0.357421875,MGR,1,1,0.32421875,0.34375,0.05172,0.670655787
46768,73032,B46768B73032,1996-97,5,2,0.413574219,MGR,1,1,0.465820313,0.33984375,0.043395,0.801125954
66114,41452,B66114B41452,1996-97,7,9,0.302734375,WSB,1,1,0.28125,0.3046875,0.0475,0.658992767
66124,44882,B66124B44882,1996-97,7,10,0.310546875,MGR,2,2,0.28125,0.296875,0.062005,0.527975559
66134,44895,B66134B44895,1996-97,6,7,0.388671875,MGR,2,2,0.3046875,0.453125,0.05597,0.674764633
67584,66188,B67584B66188,1996-97,3,6,0.336547852,TPB,2,1,0.3125,0.326904297,0.03609,0.80516974
67586,72855,B67586B72855,1996-97,3,2,0.356445313,WSB,2,1,0.28515625,0.388671875,0.040575,0.77296328
67595,67569,B67595B67569,1996-97,3,4,0.34375,WSB,3,3,0.306640625,0.3515625,0.037905,0.790292525
67596,72883,B67596B72883,1996-97,3,2,0.341033936,TPB,3,3,0.343505859,0.296875,0.036915,0.802800501
68013,72841,B68013B72841,1996-97,5,2,0.329101563,WSB,1,1,0.321777344,0.2890625,0.038585,0.772617741
68027,41487,B68027B41487,1996-97,5,8,0.295898438,WSB,2,1,0.265625,0.33203125,0.048015,0.64700681
68029,66163,B68029B66163,1996-97,5,6,0.324707031,WSB,1,1,0.3046875,0.30859375,0.041575,0.730172871
68030,41455,B68030B41455,1996-97,5,9,0.33203125,WSB,1,1,0.4375,0.30859375,0.04494,0.711621998
68034,41499,B68034B41499,1996-97,5,8,0.321777344,WSB,2,1,0.318359375,0.38671875,0.042505,0.744097646
68035,72801,B68035B72801,1996-97,5,3,0.328613281,WSB,2,2,0.328125,0.27734375,0.0451,0.711336821
68046,73022,B68046B73022,1996-97,4,3,0.350830078,MGR,2,2,0.388671875,0.307128906,0.041015,0.768678808
68048,73050,B68048B73050,1996-97,4,3,0.384277344,MGR,2,2,0.307128906,0.344238281,0.04487,0.776569551
72804,72874,B72804B72874,1996-97,3,2,0.413330078,WSB,1,1,0.295898438,0.354003906,0.04912,0.798456457
72826,72803,B72826B72803,1996-97,3,3,0.391723633,WSB,2,2,0.383789063,0.321777344,0.039605,0.826648645
72838,72810,B72838B72810,1996-97,2,3,0.319824219,TPB,2,0,0.299316406,0.3515625,0.033415,0.820212253
72845,72842,B72845B72842,1996-97,2,2,0.371826172,WSB,1,0,0.321777344,0.328125,0.040175,0.794690846
72851,72843,B72851B72843,1996-97,2,2,0.311706543,WSB,1,1,0.325195313,0.354003906,0.0333,0.819404182
72853,72879,B72853B72879,1996-97,2,2,0.315368652,WSB,1,1,0.30078125,0.328857422,0.035195,0.792920891
72854,72890,B72854B72890,1996-97,2,2,0.344238281,TPB,1,1,0.311767578,0.28515625,0.040735,0.765130248
72866,72887,B72866B72887,1996-97,2,2,0.316467285,WSB,2,1,0.328125,0.316223145,0.03389,0.799383662
72872,72839,B72872B72839,1996-97,2,2,0.326660156,WSB,1,1,0.3515625,0.295898438,0.03639,0.793088161
72872,77535,B72872B77535,1996-97,2,1,0.310668945,WSB,2,1,0.352294922,0.295898438,0.033825,0.804653811
72873,45247,B72873B45247,1996-97,2,7,0.294433594,WSB,3,2,0.27734375,0.295898438,0.04119,0.711284919
72877,77503,B72877B77503,1996-97,2,2,0.313110352,WSB,4,3,0.321777344,0.373046875,0.036245,0.790955509
72880,66180,B72880B66180,1996-97,2,6,0.420898438,TPB,4,0,0.5703125,0.345703125,0.037415,0.860864929
73002,73021,B73002B73021,1996-97,4,3,0.5390625,MGR,1,1,0.388671875,0.388671875,0.068895,0.801174473
73029,73032,B73029B73032,1996-97,2,2,0.405639648,MGR,1,0,0.465820313,0.356933594,0.034885,0.869696117
73031,73027,B73031B73027,1996-97,2,2,0.394866943,MGR,1,0,0.365234375,0.368408203,0.038085,0.841015097
73033,73028,B73033B73028,1996-97,2,2,0.405639648,MGR,1,1,0.356933594,0.465820313,0.035175,0.869696117
73047,66143,B73047B66143,1996-97,1,5,0.382446289,MGR,1,1,0.388671875,0.372802734,0.040035,0.817023853
77511,67590,B77511B67590,1996-97,2,3,0.354003906,WSB,2,2,0.295898438,0.306640625,0.038945,0.806553006
77526,72850,B77526B72850,1996-97,1,1,0.33813858,TPB,1,0,0.341033936,0.372802734,0.027115,0.891546643
77542,77529,B77542B77529,1996-97,1,1,0.323059082,WSB,2,1,0.325195313,0.426513672,0.030125,0.853248779
77548,77522,B77548B77522,1996-97,1,1,0.343582153,WSB,2,2,0.34375,0.341033936,0.03006,0.866215846
77563,72847,B77563B72847,1996-97,1,2,0.315734863,WSB,1,1,0.349121094,0.356445313,0.03209,0.821914555
77566,72889,B77566B72889,1996-97,1,2,0.426940918,WSB,2,2,0.328857422,0.316467285,0.03239,0.849305722
77569,72857,B77569B72857,1996-97,1,2,0.5703125,WSB,2,1,0.48828125,0.48828125,0.068475,0.83008948
77571,67505,B77571B67505,1996-97,1,6,0.322021484,WSB,2,2,0.27734375,0.380859375,0.0403,0.74371511
77572,72899,B77572B72899,1996-97,1,2,0.414215088,WSB,2,1,0.338012695,0.380859375,0.040055,0.85382153
77582,77545,B77582B77545,1996-97,1,1,0.411376953,WSB,1,0,0.48828125,0.33203125,0.041095,0.843667356
79715,77544,B79715B77544,1996-97,1,1,0.324462891,TPB,1,1,0.382202148,0.371826172,0.029345,0.860645986
43207,41466,B43207B41466,1997-98,9,10,0.29296875,WSB,1,0,0.3125,0.34375,0.05544,0.585998535
45205,66137,B45205B66137,1997-98,8,7,0.357421875,MGR,1,1,0.32421875,0.34375,0.05172,0.670655787
66114,41452,B66114B41452,1997-98,8,10,0.302734375,WSB,1,1,0.28125,0.3046875,0.0475,0.658992767
66124,44882,B66124B44882,1997-98,8,11,0.310546875,MGR,1,1,0.28125,0.296875,0.062005,0.527975559
66134,44895,B66134B44895,1997-98,7,8,0.388671875,MGR,2,2,0.3046875,0.453125,0.05597,0.674764633
67584,66188,B67584B66188,1997-98,4,7,0.336547852,TPB,1,0,0.3125,0.326904297,0.03609,0.80516974
67586,72855,B67586B72855,1997-98,4,3,0.356445313,WSB,3,3,0.28515625,0.388671875,0.040575,0.77296328
67596,77574,B67596B77574,1997-98,4,2,0.356384277,TPB,1,1,0.294433594,0.296875,0.04349,0.769674978
68013,72841,B68013B72841,1997-98,6,3,0.329101563,WSB,2,0,0.321777344,0.2890625,0.038585,0.772617741
68027,68039,B68027B68039,1997-98,6,6,0.309326172,WSB,2,2,0.310058594,0.33203125,0.034185,0.813413337
68029,77523,B68029B77523,1997-98,6,2,0.356750488,WSB,3,3,0.34375,0.30859375,0.03612,0.827382045
